text,label
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,1
Name a technique widely used to detect birth defects ?,1
What was the longest war in U.S. history ?,1
What are the seven wonders of the world ?,1
What holidays are celebrated in Ireland ?,1
What English word contains the most letters ?,1
In what ways did Ivan IV support Russian expansion ?,1
What do goldfish lose if kept in dimly-lit or running water ?,1
What Broadway musical was inspired by Cervantes 's Don Quixote ?,1
What animal migrates the farthest ?,1
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,1
What is `` the taste that beats the others cold '' ?,1
What should the oven be set at for baking Peachy Oat Muffins ?,1
What ice creams contain seaweed ?,1
"What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?",1
What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,1
What is a fear of money ?,1
What are two plants that clothes are made from ?,1
What was George Washington afraid of ?,1
What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,1
What is the longest English word ?,1
What 's the term for any four-sided figure ?,1
What did Thomas Paine write ?,1
What sport is played on the largest field ?,1
What plants are found in an estuary ?,1
What colors make up a rainbow ?,1
What Kennedy was married to Ethel ?,1
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,1
What is `` the soft drink for adults '' ?,1
What product did William Horlick discover and produce ?,1
What is the longest-running television series ?,1
What foods contain the most protein ?,1
"What card game has variations called Canfield , Klondike and Spider ?",1
What are the wolverine habits ?,1
What was the name of Betty Boop 's dog ?,1
What was the name of Aristotle Onassis 's yacht ?,1
What instrument does Benny Carter play ?,1
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,1
What 1964 film introduced the song My Kind of Town ?,1
"How do you say , `` I love you '' in other languages ?",1
What is the fastest-growing comic strip of all time ?,1
Which sex is denied voting rights in Kuwait ?,1
What are some translations of the phrase `` Thank-you '' ?,1
Which condiment was once sold as a patent medicine ?,1
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,1
What is the Taj Majal made of ?,1
What 's the most popular form of gambling with women in Las Vegas ?,1
What scale measures earthquakes ?,1
What color of dry wine should be served with veal roasts and chops ?,1
What 's the highest-ranking suit in bridge ?,1
What is Dr. Seuss ' most popular book ?,1
What is predicted to topple over between 2010 and 2020 ?,1
Which gender has bigger thighs ?,1
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,1
Name four famous cartoon cats .,1
How do you say 2 in Latin ?,1
"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",1
What disease does Katharine Hepburn have that makes her voice shake ?,1
What color is the stripe along each side of a Coho salmon ?,1
What 1956 Grace Metalious novel was on the best-seller list for two years ?,1
What delicacy is known indelicately as pickled roe ?,1
Which of the five senses develops first ?,1
What is the world 's best selling cookie ?,1
What did the crocodile swallow in Peter Pan ?,1
What is Chiricahua the name of ?,1
What is a fear of hair ?,1
What is Grenada 's main commodity export ?,1
Name one of the Seven Wonders of the Ancient World .,1
"What cereal goes `` snap , crackle , pop '' ?",1
Name Li 'l Abner 's favorite Indian drink .,1
What can I use to remove the stubborn gummed labels from some diskettes ?,1
What is a fear of thunder ?,1
What football bowl game 's first queen was Hallie Woods ?,1
What were the names of the three ships used by Columbus ?,1
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,1
What is a fear of rejection ?,1
What was the name of the ball game played by the mayans ?,1
What is an example of a natural acid-base indicator ?,1
What does an ashen-faced eidologist search out the existence of ?,1
"What 1950 film won seven Oscars , including best picture ?",1
What color are a cherry tree 's flowers ?,1
"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?",1
What is a fear of points ?,1
What movie did Steven Spielberg direct in 1975 ?,1
What type of betting is used in horse racing ?,1
What kind of education do I need to become a flight attendant ?,1
What was `` America 's recessed-filter cigarette '' ?,1
What is the only primate to lack pigment in the palms of its hands ?,1
Stuart Hamblen is considered to be the first singing cowboy of which medium ?,1
What is the mission of Nike ?,1
What was Hitler 's favorite movie ?,1
What is Bella Abzug 's sartorial trademark ?,1
What is the correct way to use `` may '' vs. `` might '' ?,1
"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?",1
What are some tips for building a fire in a fireplace ?,1
What is a fear of trees ?,1
What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?,1
What kind of patent did Ermal Fraze get in 1963 ?,1
What was John F. Kennedy 's 1960 campaign song ?,1
Name the soft drink that is `` number one in the sun . '',1
What plant has the largest seed ?,1
What is the longest English word that can be formed using just the first row of letters on a typewriter ?,1
What term does a Czech use to describe a Pole ?,1
Which two products use a tiger as their symbol ?,1
What is a fear of gravity ?,1
What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?,1
What Frederick Forsyth novel chronicles the toppling of an African government by mercenaries ?,1
What 's a Craps player called ?,1
Ray Charles is best known for playing what instrument ?,1
What color were Ernest Hemingway 's eyes ?,1
What kind of species is the monster in the film `` Jaws '' ?,1
What are the ingredients of Coca-Cola ?,1
What 's approaching when a cyclist shouts : `` Oil '' ?,1
What 's the highest hand in straight poker ?,1
What are the different types of plastic ?,1
What is the first book of the Old Testament ?,1
What medium is Stuart Hamblen the first singing cowboy in ?,1
What did Warlock wear on his forehead in Marvel comics ?,1
What is the Jewish bible called ?,1
What can one see in Reims ?,1
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,1
What are dinosaur droppings called ?,1
"What was the 24-disc John Gabel Entertainer the first example of , in 1960 ?",1
What are close encounters of the first and second kind ?,1
What racehorse won an Associated Press poll as the greatest horse of the 20th century ?,1
What does EKG stand for ?,2
What is the abbreviation of the International Olympic Committee ?,2
What does `` B.Y.O.B. '' mean ?,2
What is the acronym for the rating system for air conditioner efficiency ?,2
"What do the letters D.C. stand for in Washington , D.C. ?",2
What does G.M.T. stand for ?,2
What does ` PSI ' stand for ?,2
"What does Ms. , Miss , and Mrs. stand for ?",2
"What is p.m. an abbreviation for , as in 5 p.m. ?",2
"Whose funeral train traveled from Washington D.C. to Springfield , Illinois ?",3
"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",3
"Who says , `` If you don 't look good , we don 't look good '' ?",3
Who was the actor who played Sam in the movie Casablanca ?,3
What writer-journalist made his mark describing colorful Broadway and underworld characters ?,3
Who was the first American world chess champion ?,3
What famous comedian recently tried without success to revive the play ?,3
Who painted Mother and Child ?,3
What TV sitcom character had the maiden name Ethel Potter ?,3
Who invented the Wonderbra ?,3
Name the five positions who are in the line of succession to the presidency .,3
"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",3
What was her real name ?,3
What TV character sired a horse named Thunder ?,3
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,3
What are the residents of the island of Lesbos called ?,3
Who were the `` filthiest people alive ? '',3
What was the name of the first Russian astronaut to do a spacewalk ?,3
Who was nicknamed The Little Corporal ?,3
Who held the endurance record for women pilots in 1929 ?,3
Who plays shortstop for Charlie Brown 's baseball team ?,3
What writer is famous for physically putting himself into the center of his subject matter ?,3
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",3
Who makes the `` cross-your-heart bra '' ?,3
Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?,3
Who said : `` The victor will never be asked if he told the truth '' ?,3
Who is the current UN Secretary General ?,3
What famous film and TV cowboy lent his name to a fast food chain ?,3
What Good Little Witch is Casper 's girlfriend ?,3
Whose cover is that of an employee of Universal Import and Export ?,3
What did the Seven Dwarfs do for a living ?,3
What director portrayed the commandant of the POW camp in 1953 's Stalag 17 ?,3
Who is the current prime minister and president of Russia ?,3
"When Mighty Mouse was conceived , what was his original name ?",3
What is the real name of disc jockey `` Wolfman Jack '' ?,3
Who is Shirley MacLaine ?,3
Name Alvin 's brothers,3
Which of the following celebrities was not born in Philadelphia ?,3
Who is the richest person in the world ?,3
What group asked the musical question Do You Believe in Magic ?,3
What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?,3
The major league baseball team in Pittsburgh is called what ?,3
"In Dana 's `` Two Years Before the Mast , '' what seafarers lived in an abandoned oven on the beach at San Diego ?",3
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,3
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,3
What mythical figure carries an hourglass and a scythe ?,3
What is Li 'l Abner 's last name ?,3
Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?,3
What is the oldest profession ?,3
Who was actress June Havoc 's legendary sister ?,3
What onetime member of Ronald Reagan 's cabinet called federal policy toward Indians `` an example of the failure of socialism '' ?,3
Name the Ranger who was always after Yogi Bear .,3
Who is behind the name of the Harvey Wallbanger drink ?,3
What is her profession ?,3
"Who created the Fantastic Four , Hulk , and Thor ?",3
What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,3
What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?,3
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,3
Who wrote ` Hamlet ' ?,3
Who thought he 'd never see a poem lovely as a tree ?,3
What Ivy League school plays its home games at Palmer Stadium ?,3
Who was Confucius ?,3
What party was Winston Churchill a member of ?,3
"What U.S. Congressman said : `` Keep the faith , baby '' .",3
What Mormon leader was said to have had 27 wives ?,3
What count did Alexandre Dumas write about ?,3
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?,3
"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''",3
What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,3
What corporation does Madonna advertise for ?,3
Who gave Abbie Hoffman his first dose of LSD ?,3
Name the person who burst through the screen in the Lite beer commercials .,3
Whose acceptance speech of more than 3 minutes prompted a time limit on Academy Award thank-yous ?,3
What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,3
Who was Secretary of State during the Nixon administration ?,3
"Who lives at 24 Sussex Drive , Ottawa ?",3
What bottled-up TV character was born in Baghdad ?,3
Who was the first doctor to successfully transplant a liver ?,3
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?",3
"What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?",3
What was American folk hero John Chapman 's nickname ?,3
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,3
Who invented the fountain ?,3
Who died 1 feet from where John F. Kennedy did ?,3
Which two inventors invented Post-its ?,3
What first name was Nipsy Russell given at birth ?,3
"What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''",3
Who were the only two bald U.S. Presidents ?,3
